'Staffel','Nummer','Deutscher Titel'
1,1,'Sassenach '
1,2,'Burg Leoch '
1,3,'Der Weg zurück '
1,4,'Die Jagd '
1,5,'Tribut '
1,6,'Black Jack '
1,7,'Die Hochzeit '
1,8,'Im Steinkreis '
1,9,'Die Abrechnung '
1,10,'Tödliche Intrige '
1,11,'Hexenprozess '
1,12,'Lallybroch '
1,13,'Die Wacht '
1,14,'Die Suche '
1,15,'Im Kerker '
1,16,'Erlösung '
2,1,'Reise ins Ungewisse'
2,2,'Fern der Heimat Schottland'
2,3,'Täuschungen und Rätsel'
2,4,'La Dame Blanche'
2,5,'Neues Bündnis, alte Feinde'
2,6,'Das Versprechen'
2,7,'Der Preis der Freiheit'
2,8,'Im Fuchsbau'
2,9,'Bereit zum Kampf'
2,10,'Schlachtplan'
2,11,'Rache'
2,12,'Schmerz'
2,13,'Die geliehene Zeit'
3,1,'Nach der Schlacht'
3,2,'Sechs Jahre'
3,3,'Ehrenschuld'
3,4,'Verlust'
3,5,'Der Entschluss'
3,6,'Die Rückkehr'
3,7,'Die Seherin'
3,8,'Die Forderung'
3,9,'Die Flaute'
3,10,'Der Köder'
3,11,'Die Zuflucht'
3,12,'Die Bakra'
3,13,'Im Auge des Sturms'
4,1,'Die neue Welt'
4,2,'Versklavt'
4,3,'Die falsche Braut'
4,4,'Geteiltes Land'
4,5,'Flüchtiges Glück'
4,6,'Blutsbande'
4,7,'Hartes Regiment'
4,8,'Wilmington'
4,9,'Familie'
4,10,'Getrennte Wege'
4,11,'Spannungen'
4,12,'Flucht'
4,13,'Ein Mann der Ehre'
5,1,
5,2,
5,3,
5,4,
5,5,
5,6,
5,7,
5,8,
5,9,
5,10,
5,11,
5,12,
6,1,
6,2,
6,3,
6,4,
6,5,
6,6,
6,7,
6,8,
6,9,
6,10,
6,11,
6,12,
