'Staffel','Nummer','Deutscher Titel'
1,1,'Ein außergewöhnliches Talent '
1,2,'Fremde Federn '
1,3,'Nur ein einziges Glas '
1,4,'Gegen alle Vernunft '
1,5,'Die Hoffnung stirbt zuletzt '
1,6,'Massenanfall '
1,7,'Der autistische Patient '
1,8,'Apfel '
1,9,'Kleines Herz '
1,10,'Freiheit oder Tod '
1,11,'Auszeit '
1,12,'Untrennbar verbunden '
1,13,'Sieben Gründe fürs Lügen '
1,14,'Im falschen Körper '
1,15,'Die Leber des Killers '
1,16,'Der Wert des Lebens '
1,17,'Alles nur für ein Lächeln '
1,18,'Kunstfehler '
2,1,'Der letzte Tag '
2,2,'Die zwei Seiten der Wahrheit '
2,3,'36 Stunden '
2,4,'Delirium '
2,5,'Die bessere Karotte '
2,6,'Tücken des Alltags '
2,7,'Verhandlungssache '
2,8,'Erinnerungslücken '
2,9,'Ein hinkender Vergleich '
2,10,'Quarantäne '
2,11,'Weihnachtswunder '
2,12,'Auszeit '
2,13,'Die zweite Tochter '
2,14,'Gesichter '
2,15,'Risiko und Ertrag '
2,16,'Die Macht des Glaubens '
2,17,'Ich bin ein Chirurg! '
2,18,'Trampolin '
3,1,
