'Staffel','Nummer','Deutscher Titel'
1,1,'Wer ist Jane Doe? '
1,2,'Die Farben im Nacken '
1,3,'Vertraue niemandem '
1,4,'Zweifel '
1,5,'Radioaktiv '
1,6,'Die Eule '
1,7,'Saul Guerrero '
1,8,'Daylight '
1,9,'Rich Dotcom '
1,10,'Die Mission '
1,11,'Flug PA 921 '
1,12,'ZIP'
1,13,'Verdächtigungen'
1,14,'Nur 36 Stunden'
1,15,'Die brennende Rose'
1,16,'Alte Liebe'
1,17,'Schatzsuche'
1,18,'Meisterdiebe'
1,19,'Vier Blickwinkel'
1,20,'Gezeichnet'
1,21,'Eingeschlossen'
1,22,'Phase Eins'
1,23,'Phönix aus der Asche'
2,1,'Sandsturm'
2,2,'Eine Art Familie'
2,3,'Killerinstinkt'
2,4,'Aurora'
2,5,'Hinterhalt'
2,6,'Der Whistleblower'
2,7,'Auf der sicheren Seite'
2,8,'Spurlos verschwunden'
2,9,'Phase zwei'
2,10,'Gefangen'
2,11,'Der Leopard'
2,12,'Kalkuliertes Risiko'
2,13,'Shepherd'
2,14,'Dädalus'
2,15,'Bewährungsprobe'
2,16,'Abgehängt'
2,17,'Magnus Steele'
2,18,'Angeschlagen'
2,19,'Bangkok'
2,20,'Vertrauensbruch'
2,21,'Der Durchbruch'
2,22,'Janes Entscheidung'
3,1,'Alles auf Anfang'
3,2,'Verunsichert'
3,3,'Die drei blinden Mäuse'
3,4,'Moskito'
3,5,'Beweisstücke'
3,6,'Und Action!'
3,7,'Van Gogh'
3,8,'Die Ausstiegsstrategie'
3,9,'Am Boden zerstört'
3,10,'In der Falle'
3,11,'Ausgesperrt'
3,12,'Puzzleteile'
3,13,'In falschen Händen'
3,14,'Unendlich'
3,15,'Hintergangen'
3,16,'Dragonfly164'
3,17,'Die Schlange'
3,18,'Diskret und tödlich'
3,19,'Vertrauter Feind'
3,20,'Charon'
3,21,'Der nächste Zug'
3,22,'Alles oder nichts'
4,1,'Allein'
4,2,'Die Weltkarte'
4,3,'Das Michelangelo-Tattoo'
4,4,'Isolation'
4,5,'Die Macht der Schatten'
4,6,'Der Wolf und die Schlange'
4,7,'In guten und in schlechten Zeiten'
4,8,'Auf Abwegen'
4,9,'Jane oder Remi'
4,10,'Hoffnungsschimmer'
4,11,'Das Manuskript'
4,12,'Patterson Jones'
4,13,'Del Toro'
4,14,'Romulus und Remus'
4,15,'Mission: Impossible'
4,16,'Der schlimmste Feind'
4,17,'Der Deal'
4,18,'Familie'
4,19,'Dämonen der Vergangenheit'
4,20,'Rache!'
4,21,'Helios'
4,22,'Unter Druck'
5,1,
